Sylvan,911
Rock,910
Webb,910
Chandler,909
Harvard,909
Pacific,909
Sutton,909
Randolph,907
Ridgecrest,907
Woodridge,907
Sandpiper,906
Skyview,906
Coventry,905
Fieldstone,904
Allison,903
McDonald,902
Avalon,897
Bayview,895
Manchester,894
Sawmill,893
Lookout,891
Brighton,889
Carson,888
Jay,887
Louise,887
Peachtree,886
Weaver,886
Buck,885
Simpson,884
Norman,883
Balsam,882
Bedford,882
Blueberry,882
Van Buren,882
Paul,881
38th,880
50th,879
Raven,879
Woodcrest,878
Memory,875
Polk,875
Swan,875
Shaw,874
Abbey,872
Oakdale,872
Benton,871
Willis,871
Florida,870
White Pine,870
Chester,869
Star,869
Anthony,868
Armstrong,868
Knollwood,868
39th,867
Memorial,863
Newport,863
Sequoia,862
Buena Vista,859
Brandon,858
Waverly,858
Blossom,857
Northwood,857
Twin Oaks,856
Andrews,855
Burton,854
G,854
Gardner,853
California,852
Bryan,851
Buchanan,849
Haven,849
Kentucky,849
Lois,849
Saratoga,849
Echo,848
Gary,848
41st,847
Waterford,847
Timberline,846
Hawk,845
Todd,844
Camelot,843
Marie,841
Harper,840
Osprey,840
Patton,840
Beacon,839
Blair,838
Charlotte,836
Hart,835
Hoover,835
Mills,833
Golden,832
45th,831
Iowa,831
Burns,830
Perkins,830
Plaza,830
Sanders,830
Berkshire,829
Heron,829
Lark,827
Bass,826
Pineview,826
Spring Creek,826
43rd,824
Nichols,823
Villa,821
Carlton,820
Owens,820
Brittany,819
60th,815
Blue Heron,815
Knight,814
Penn,814
Donna,813
Plymouth,812
Rolling Hills,812
Auburn,811
Camden,811
Leslie,810
Windmill,809
Yale,809
Teal,808
Oregon,806
Rebecca,806
Violet,806
Frederick,804
Tiffany,802
Winter,801
Keystone,800
Myers,800
Timber Ridge,800
New,797
Simmons,796
Fox Run,795
Santa Fe,795
Temple,794
Woodhaven,794
Marina,793
Taft,793
Whispering Pines,793
48th,791
Catherine,791
Clubhouse,791
Springfield,791
Cliff,790
Randall,789
Blue Jay,788
Moss,788
44th,787
Cedar Ridge,787
Patrick,787
Gateway,785
Joyce,785
Travis,785
Hanover,784
Remington,783
Albert,782
Blue Ridge,782
Palmetto,782
Mission,780
Cornell,779
Duke,779
Fork,779
Peterson,779
Providence,779
Butternut,778
Churchill,778
Riley,778
Sioux,778
47th,777
Carolina,777
Illinois,777
Joy,777
Meridian,776
Countryside,775
Deer Creek,774
Oakmont,774
Milton,773
Page,773
Maxwell,772
Noble,772
Boxwood,771
H,771
Red Fox,771
120th,770
Derby,770
Edward,770
Sarah,770
Amanda,768
Crane,768
Frontier,768
Sandstone,767
Ashwood,764
Club,763
Finch,763
Savannah,763
110th,760
Fuller,759
Jenkins,758
Little,757
Kenwood,756
Monterey,754
Yorkshire,754
Greenway,753
Chatham,752
Mesa,752
Blake,751
Loop,751
Pawnee,751
Fountain,750
Morton,748
Centennial,747
46th,746
Barton,746
Devonshire,746
Morrison,746
Elliott,745
Horizon,745
Iroquois,744
Pike,744
Dennis,743
Kansas,742
Jasper,741
Walton,741
Persimmon,740
Raintree,740
Shiloh,740
Wagner,740
Stagecoach,739
Tara,739
Euclid,738
Whippoorwill,738
Andrew,737
Bear,737
Serenity,737
Cedarwood,736
Garrett,736
Lake View,736
Pleasant View,736
Wolf,736
Clearwater,735
150th,734
Emily,734
Martha,734
Lindsey,733
Opal,733
Pine Hill,733
Fremont,731
Doe,730
Palomino,729
Pebble,729
Choctaw,728
Knox,727
Oakview,727
Willow Creek,727
Woodbine,727
Ferguson,726
Shelby,726
Carver,725
52nd,723
Amy,723
Clifton,723
Meadows,723
Dawson,722
Westminster,722
Fowler,721
Green Acres,721
Highview,721
Aberdeen,720
Linwood,720
Spring Valley,720
Alabama,719
Chippewa,719
Dunn,719
Pine Grove,719
Dana,718
Delta,718
80th,717
Erie,717
Coral,716
Dorothy,716
Marigold,716
Cindy,715
Hale,715
140th,714
130th,713
55th,712
Aster,712
Friendship,712
Howell,712
Huckleberry,712
Comanche,711
Everett,711
Sundance,711
Flint,710
Marsh,710
Bush,709
Devon,709
Stuart,707
Ashland,706
Jade,706
Hawkins,705
Jason,705
Avon,704
Bonnie,704
Cannon,704
160th,703
Access,703
Bond,702
Atlantic,701
Applewood,700
Maryland,700
Courtney,699
Dallas,699
Earl,697
Kay,697
Montana,697
Deerwood,696
Inverness,696
70th,695
Caldwell,695
Mesquite,695
Cactus,694
Downing,694
Huron,693
Amherst,692
Eden,692
Tomahawk,692
Winston,691
Hastings,690
Shadow,690
Williamsburg,690
Briar,689
Stephens,689
54th,688
Crown,688
Woodview,687
